name,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,manganese,molybdenum,nickel,cobalt,sodium,oxygen,carbondioxide,ph_min,ph_max,EC_min,EC_max,temp,humidity,light,growth_stage,type
canary melons,515000.00,240000.00,623150.00,298000.00,161200.00,76650.00,3876.00,5985.00,3848.00,31620.00,14140.00,17850.00,571.20,329.87,150.80,783.36,6.13,1760.00,5.50,7.10,1.20,1.70,29.00,53.00,375.00,flowering,fruitables
cantaloupe,303000.00,156000.00,362100.00,180250.00,85000.00,45320.00,2184.00,3200.00,2121.00,17170.00,7280.00,9360.00,405.60,483.81,62.83,363.70,5.80,1190.00,5.70,7.10,1.60,2.10,27.00,55.00,330.00,vegetative,fruitables
cantaloupe,383800.00,232300.00,447200.00,252500.00,154500.00,80000.00,5775.00,6760.00,5555.00,56100.00,40800.00,43260.00,1010.00,942.48,183.26,503.59,7.34,1270.00,4.30,6.40,2.10,2.60,41.00,77.00,430.00,vegetative,fruitables
cantaloupe,92700.00,48960.00,118450.00,60320.00,29290.00,15300.00,600.00,927.00,515.00,6240.00,2100.00,3090.00,122.40,490.09,144.51,1297.44,6.69,600.00,5.80,7.00,1.20,1.70,22.00,58.00,300.00,seedling,fruitables
cantaloupe,183600.00,115500.00,202000.00,120000.00,61200.00,45450.00,3640.00,4160.00,3570.00,30300.00,25000.00,28350.00,472.50,615.75,78.54,538.56,5.31,710.00,4.50,6.10,1.70,2.20,36.00,90.00,410.00,seedling,fruitables
cantaloupe,98800.00,52000.00,121200.00,62000.00,30600.00,16320.00,721.00,1000.00,600.00,5150.00,3030.00,4080.00,131.30,289.03,167.55,465.12,5.37,605.00,5.70,7.10,1.20,1.70,23.00,59.00,310.00,harvesting,fruitables
cantaloupe,187200.00,123600.00,206000.00,131300.00,66300.00,50000.00,4040.00,4545.00,4040.00,36050.00,31200.00,33600.00,515.00,490.09,192.68,734.40,4.67,720.00,4.60,6.30,2.20,2.70,38.00,95.00,430.00,harvesting,fruitables
cantaloupe,525000.00,252000.00,624000.00,298700.00,153000.00,70700.00,3876.00,5928.00,3708.00,31930.00,14560.00,17170.00,588.00,348.72,89.54,440.64,4.05,1755.00,5.60,7.20,1.40,1.90,29.00,52.00,375.00,flowering,fruitables
cantaloupe,575700.00,364000.00,646400.00,384800.00,224400.00,120750.00,7800.00,8585.00,7575.00,78000.00,57750.00,60000.00,1500.00,311.02,207.35,839.32,8.97,1920.00,4.00,6.60,1.40,1.90,44.00,70.00,510.00,flowering,fruitables
capsicum (bell peppers),313100.00,149480.00,362000.00,192150.00,93450.00,45450.00,2323.00,3600.00,2300.00,18000.00,8000.00,10400.00,441.00,282.74,146.61,314.74,7.24,1205.00,5.50,6.70,1.60,2.10,28.00,58.00,335.00,vegetative,fruitables
capsicum (bell peppers),96820.00,48300.00,120000.00,58580.00,31620.00,15150.00,624.00,1000.00,500.00,5050.00,2040.00,3030.00,113.30,376.99,211.12,545.56,4.62,610.00,5.60,6.60,1.90,2.40,23.00,62.00,305.00,seedling,fruitables
capsicum (bell peppers),99000.00,52500.00,126880.00,63630.00,33660.00,19380.00,945.00,1133.00,816.00,6000.00,3090.00,4040.00,168.00,747.70,108.38,664.46,5.76,615.00,5.50,6.70,2.40,2.90,26.00,59.00,315.00,harvesting,fruitables
capsicum (bell peppers),527100.00,251680.00,608000.00,309000.00,158570.00,76960.00,4017.00,5900.00,3700.00,32640.00,15600.00,18180.00,619.50,697.43,136.35,734.40,6.67,1780.00,5.40,6.70,2.10,2.60,30.00,55.00,385.00,flowering,fruitables
cardamom,62400.00,42000.00,52000.00,41600.00,31200.00,30000.00,728.00,808.00,714.00,6300.00,4080.00,4200.00,130.00,150.80,233.11,1133.08,5.66,540.00,6.00,6.50,1.90,2.40,24.00,62.00,270.00,vegetative,spices
cardamom,31500.00,20600.00,25000.00,20400.00,15450.00,15150.00,416.00,520.00,408.00,4120.00,3150.00,3030.00,83.20,961.33,141.37,514.08,8.76,440.00,6.00,6.50,1.40,1.90,22.00,67.00,220.00,seedling,spices
cardamom,30900.00,20800.00,26000.00,20800.00,15150.00,15000.00,412.00,515.00,404.00,4120.00,3030.00,3150.00,80.00,464.96,53.41,1126.08,8.11,440.00,6.00,6.50,1.40,1.90,22.00,67.00,220.00,harvesting,spices
cardamom,90000.00,62400.00,75750.00,63000.00,45450.00,45000.00,1020.00,1200.00,1030.00,9090.00,6120.00,6120.00,208.00,549.78,62.20,1321.92,4.01,640.00,6.00,6.50,2.40,2.90,26.00,57.00,320.00,flowering,spices
carrot,298000.00,149350.00,367500.00,172000.00,83830.00,42420.00,1976.00,3090.00,1976.00,15300.00,6120.00,8000.00,383.80,207.35,70.37,241.30,4.49,1180.00,5.20,6.60,1.70,2.20,25.00,53.00,325.00,vegetative,root_vegetable
carrot,88880.00,45900.00,115360.00,57750.00,28000.00,14140.00,520.00,816.00,404.00,4000.00,2060.00,3120.00,103.00,603.19,222.01,650.47,7.47,590.00,5.30,6.50,1.70,2.20,20.00,56.00,295.00,seedling,root_vegetable
carrot,97760.00,48480.00,118320.00,63000.00,30450.00,15750.00,612.00,936.00,525.00,5100.00,3030.00,4040.00,123.60,226.19,117.81,542.06,3.33,595.00,5.20,6.60,2.20,2.70,22.00,57.00,305.00,harvesting,root_vegetable
carrot,517920.00,235000.00,600950.00,306600.00,151500.00,73500.00,3885.00,5555.00,3570.00,30000.00,13130.00,16320.00,561.00,1055.58,50.27,398.68,5.21,1745.00,5.10,6.70,2.20,2.70,28.00,50.00,370.00,flowering,root_vegetable
catnip,220000.00,135200.00,240000.00,133900.00,61200.00,30900.00,1854.00,3535.00,1836.00,17510.00,9450.00,9360.00,400.00,427.26,61.26,559.54,4.87,640.00,6.00,6.50,2.10,2.60,22.00,65.00,390.00,vegetative,herbs
catnip,81600.00,47250.00,93600.00,40000.00,26000.00,15750.00,600.00,1020.00,606.00,4200.00,2550.00,2525.00,120.00,141.37,69.12,440.64,5.14,540.00,6.00,6.50,1.60,2.10,20.00,70.00,340.00,seedling,herbs
catnip,84000.00,45450.00,90900.00,41200.00,26250.00,15600.00,606.00,1000.00,606.00,4120.00,2500.00,2500.00,121.20,289.03,117.81,335.73,5.31,540.00,6.00,6.50,1.60,2.10,20.00,70.00,340.00,harvesting,herbs
catnip,336000.00,180000.00,329600.00,190000.00,83200.00,46800.00,2550.00,5250.00,2625.00,22440.00,12360.00,12600.00,520.00,499.51,103.04,377.69,4.13,820.00,6.00,6.50,2.60,3.10,24.00,60.00,440.00,flowering,herbs
cauliflower,296000.00,145860.00,351480.00,178500.00,81810.00,43050.00,1800.00,2929.00,1836.00,14560.00,6180.00,8320.00,388.50,565.49,96.34,440.64,4.49,1175.00,5.20,6.60,1.90,2.40,24.00,52.00,320.00,vegetative,cruciferous_vegetables
cauliflower,90300.00,43430.00,113300.00,54540.00,27270.00,13000.00,400.00,707.00,408.00,4120.00,2100.00,3060.00,90.90,772.83,164.93,377.69,7.22,585.00,5.30,6.50,1.40,1.90,19.00,55.00,290.00,seedling,cruciferous_vegetables
cauliflower,92000.00,48410.00,117420.00,59160.00,28000.00,14560.00,500.00,840.00,505.00,5050.00,3150.00,4200.00,111.10,311.02,133.52,587.52,8.41,595.00,5.20,6.60,1.40,1.90,21.00,56.00,300.00,harvesting,cruciferous_vegetables
cauliflower,510880.00,244650.00,610790.00,292900.00,152440.00,69690.00,3708.00,5508.00,3468.00,30450.00,13130.00,16800.00,561.60,207.35,182.21,594.52,3.75,1740.00,5.10,6.70,2.40,2.90,27.00,49.00,365.00,flowering,cruciferous_vegetables
cayenne,300000.00,157500.00,374400.00,185400.00,94500.00,46800.00,2472.00,3708.00,2496.00,18720.00,9270.00,9180.00,454.50,801.11,142.42,804.35,3.72,1200.00,5.80,6.50,1.70,2.20,28.00,60.00,350.00,vegetative,fruitables
cayenne,101000.00,51000.00,120000.00,61200.00,31200.00,15600.00,840.00,1200.00,840.00,6240.00,3120.00,3030.00,150.00,179.07,141.37,517.58,4.52,600.00,5.80,6.50,1.70,2.20,25.00,65.00,300.00,seedling,fruitables
cayenne,105000.00,50000.00,124800.00,60600.00,31500.00,15450.00,808.00,1248.00,832.00,6060.00,3090.00,3030.00,154.50,653.45,593.76,367.20,4.21,600.00,5.80,6.50,2.20,2.70,25.00,65.00,300.00,harvesting,fruitables
cayenne,520000.00,255000.00,630000.00,309000.00,154500.00,76500.00,4200.00,6300.00,4160.00,30600.00,15600.00,15000.00,600.00,490.09,122.52,944.23,4.89,1800.00,5.80,6.50,2.20,2.70,30.00,55.00,400.00,flowering,fruitables
celery,228800.00,131300.00,252000.00,132600.00,63000.00,31500.00,1872.00,3535.00,1890.00,17850.00,9360.00,9000.00,400.00,628.32,128.18,440.64,7.09,640.00,6.00,6.50,1.90,2.40,22.00,65.00,390.00,vegetative,leafy_greens
celery,82400.00,47250.00,92700.00,40800.00,25750.00,15150.00,612.00,1010.00,630.00,4040.00,2550.00,2525.00,121.20,961.33,54.66,545.56,3.96,540.00,6.00,6.50,1.40,1.90,20.00,70.00,340.00,seedling,leafy_greens
celery,81600.00,45900.00,94500.00,42000.00,26000.00,15450.00,606.00,1030.00,624.00,4080.00,2625.00,2500.00,124.80,615.75,141.37,734.40,8.66,540.00,6.00,6.50,1.40,1.90,20.00,70.00,340.00,harvesting,leafy_greens
celery,332800.00,183600.00,329600.00,190000.00,80000.00,47250.00,2550.00,5100.00,2550.00,23100.00,12600.00,12360.00,510.00,678.58,169.65,437.14,8.66,820.00,6.00,6.50,2.40,2.90,24.00,60.00,440.00,flowering,leafy_greens
chamomile,142800.00,70700.00,124800.00,101000.00,82400.00,50500.00,1000.00,1200.00,1020.00,14140.00,10500.00,6180.00,187.20,263.89,81.05,538.56,5.34,560.00,6.00,6.50,1.80,2.30,25.00,61.00,280.00,vegetative,multipurpose
chamomile,72800.00,35350.00,60600.00,51500.00,41600.00,25000.00,505.00,618.00,520.00,7350.00,5000.00,3090.00,91.80,678.58,74.61,1297.44,4.58,460.00,6.00,6.50,1.30,1.80,23.00,66.00,230.00,seedling,multipurpose
chamomile,73500.00,36750.00,61800.00,50000.00,41600.00,25000.00,505.00,600.00,500.00,7350.00,5150.00,3150.00,90.00,637.74,59.69,451.13,3.97,460.00,6.00,6.50,1.30,1.80,23.00,66.00,230.00,harvesting,multipurpose
chamomile,218400.00,106050.00,187200.00,156000.00,123600.00,78000.00,1500.00,1890.00,1575.00,22050.00,15750.00,9090.00,283.50,640.88,157.08,902.27,5.16,660.00,6.00,6.50,2.30,2.80,27.00,56.00,330.00,flowering,multipurpose
chestnut mushrooms,82400.00,61200.00,72800.00,60600.00,50500.00,52500.00,1236.00,1470.00,1260.00,12360.00,10200.00,10300.00,206.00,282.74,120.17,454.63,7.36,570.00,6.00,6.50,1.10,1.60,26.00,60.00,290.00,vegetative,mushrooms
chestnut mushrooms,40400.00,30900.00,36050.00,31200.00,25250.00,25750.00,606.00,735.00,612.00,6300.00,5000.00,5000.00,101.00,486.95,518.36,1028.16,4.49,470.00,6.00,6.50,1.70,2.20,24.00,65.00,240.00,seedling,mushrooms
chestnut mushrooms,40000.00,30600.00,35700.00,30600.00,25750.00,25500.00,600.00,735.00,618.00,6120.00,5150.00,5100.00,104.00,289.03,166.50,209.83,4.49,470.00,6.00,6.50,2.20,2.70,24.00,65.00,240.00,harvesting,mushrooms
chestnut mushrooms,123600.00,91800.00,106050.00,94500.00,75000.00,78000.00,1890.00,2163.00,1890.00,18180.00,15000.00,15450.00,303.00,697.43,320.44,1007.18,7.21,670.00,6.00,6.50,1.10,1.60,28.00,55.00,340.00,flowering,mushrooms
chinese broccoli (gai lan),310800.00,150150.00,354960.00,170000.00,85050.00,41410.00,1836.00,2987.00,1818.00,14420.00,6300.00,8000.00,370.00,461.81,428.83,335.73,8.25,1175.00,5.20,6.60,1.40,1.90,24.00,52.00,320.00,vegetative,cruciferous_vegetables
chinese broccoli (gai lan),87720.00,45150.00,113300.00,54540.00,27540.00,13650.00,416.00,700.00,416.00,4160.00,2040.00,3120.00,94.50,791.68,527.79,545.56,4.15,585.00,5.30,6.50,1.60,2.10,19.00,55.00,290.00,seedling,cruciferous_vegetables
chinese broccoli (gai lan),96600.00,47470.00,114000.00,58000.00,29400.00,14280.00,525.00,824.00,505.00,5050.00,3150.00,4040.00,112.20,697.43,254.47,615.50,7.27,595.00,5.20,6.60,2.10,2.60,21.00,56.00,300.00,harvesting,cruciferous_vegetables
chinese broccoli (gai lan),500960.00,233000.00,616720.00,290000.00,149480.00,69690.00,3780.00,5400.00,3536.00,29580.00,13520.00,16800.00,556.20,320.44,122.52,881.28,5.98,1740.00,5.10,6.70,1.40,1.90,27.00,49.00,365.00,flowering,cruciferous_vegetables
chioggia beets,299970.00,145440.00,359470.00,176130.00,85280.00,42230.00,1890.00,2900.00,1800.00,14560.00,6000.00,8400.00,377.40,433.54,148.44,577.03,3.33,1175.00,5.20,6.60,1.10,1.60,24.00,52.00,320.00,vegetative,root_vegetable
chioggia beets,87870.00,44880.00,114330.00,55620.00,28350.00,13650.00,416.00,714.00,412.00,4160.00,2080.00,3150.00,90.90,326.73,123.15,1321.92,6.82,585.00,5.30,6.50,1.90,2.40,19.00,55.00,290.00,seedling,root_vegetable
chioggia beets,93000.00,47940.00,120750.00,61950.00,28280.00,14280.00,500.00,832.00,525.00,5000.00,3150.00,4080.00,112.20,188.50,203.42,566.54,7.98,595.00,5.20,6.60,2.40,2.90,21.00,56.00,300.00,harvesting,root_vegetable
chioggia beets,516880.00,243360.00,605880.00,305550.00,156450.00,72100.00,3600.00,5670.00,3468.00,29290.00,13130.00,16320.00,540.00,292.17,78.54,657.47,4.41,1740.00,5.10,6.70,1.10,1.60,27.00,49.00,365.00,flowering,root_vegetable
chives,224400.00,132600.00,249600.00,135200.00,61200.00,31500.00,1818.00,3500.00,1818.00,17850.00,9000.00,9090.00,420.00,502.65,47.75,692.44,6.34,640.00,6.00,6.50,1.70,2.20,22.00,65.00,390.00,vegetative,herbs
chives,80000.00,46800.00,91800.00,40400.00,26250.00,15300.00,624.00,1050.00,606.00,4120.00,2575.00,2550.00,126.00,1187.52,230.38,926.75,6.44,540.00,6.00,6.50,1.60,2.10,20.00,70.00,340.00,seedling,herbs
chives,82400.00,46800.00,94500.00,42000.00,25250.00,15600.00,618.00,1000.00,600.00,4160.00,2550.00,2575.00,126.00,942.48,480.66,986.20,4.16,540.00,6.00,6.50,2.10,2.60,20.00,70.00,340.00,harvesting,herbs
chives,320000.00,180000.00,320000.00,199500.00,80800.00,45450.00,2500.00,5000.00,2600.00,22440.00,12240.00,12120.00,525.00,1099.56,131.95,944.23,3.94,820.00,6.00,6.50,2.20,2.70,24.00,60.00,440.00,flowering,herbs
chocolate mint,202000.00,126000.00,222200.00,113300.00,50000.00,26000.00,1560.00,3090.00,1500.00,15150.00,8240.00,8320.00,303.00,461.81,172.79,1112.10,4.43,600.00,6.00,6.50,1.90,2.40,22.00,65.00,350.00,vegetative,herbs
chocolate mint,70700.00,41600.00,82400.00,36050.00,20000.00,10500.00,520.00,816.00,510.00,3000.00,2060.00,2000.00,81.60,945.62,59.69,349.72,3.21,500.00,6.00,6.50,1.40,1.90,20.00,70.00,300.00,seedling,herbs
chocolate mint,72100.00,40800.00,80800.00,35350.00,20400.00,10200.00,510.00,840.00,510.00,3030.00,2040.00,2020.00,80.00,590.62,442.96,461.62,5.99,500.00,6.00,6.50,1.40,1.90,20.00,70.00,300.00,harvesting,herbs
chocolate mint,291200.00,168000.00,285600.00,171700.00,73500.00,36750.00,2100.00,4200.00,2080.00,20000.00,10200.00,10500.00,416.00,923.63,172.79,314.74,4.32,750.00,6.00,6.50,2.40,2.90,24.00,60.00,400.00,flowering,herbs
cilantro,210000.00,126000.00,222200.00,110000.00,50500.00,25750.00,1560.00,3030.00,1545.00,15150.00,8080.00,8320.00,303.00,942.48,101.32,262.29,8.45,600.00,6.00,6.50,1.90,2.40,22.00,65.00,350.00,vegetative,herbs
cilantro,72800.00,40800.00,80800.00,35350.00,20400.00,10200.00,525.00,800.00,515.00,3060.00,2080.00,2100.00,83.20,386.42,348.72,804.35,5.96,500.00,6.00,6.50,1.40,1.90,20.00,70.00,300.00,seedling,herbs
cilantro,70700.00,40000.00,80800.00,36400.00,20600.00,10100.00,510.00,800.00,515.00,3060.00,2080.00,2020.00,83.20,376.99,295.31,944.23,6.57,500.00,6.00,6.50,1.40,1.90,20.00,70.00,300.00,harvesting,herbs
cilantro,280000.00,160000.00,294000.00,176800.00,73500.00,35350.00,2080.00,4200.00,2100.00,20800.00,10100.00,10100.00,412.00,477.52,267.04,402.17,7.97,750.00,6.00,6.50,2.40,2.90,24.00,60.00,400.00,flowering,herbs
cinnamon,126000.00,61200.00,105000.00,80800.00,60000.00,51500.00,1010.00,1260.00,1030.00,12600.00,10100.00,6120.00,156.00,904.78,84.82,660.96,7.82,560.00,6.00,6.50,1.80,2.30,24.00,62.00,270.00,vegetative,multipurpose
cinnamon,63000.00,30600.00,51500.00,40800.00,31200.00,26000.00,520.00,606.00,520.00,6300.00,5200.00,3090.00,84.00,339.29,71.63,503.59,6.94,460.00,6.00,6.50,1.30,1.80,22.00,67.00,220.00,seedling,multipurpose
cinnamon,63000.00,30000.00,50000.00,42000.00,31500.00,25000.00,515.00,630.00,525.00,6240.00,5150.00,3030.00,81.60,1055.58,104.46,566.54,4.83,460.00,6.00,6.50,1.30,1.80,22.00,67.00,220.00,harvesting,multipurpose
cinnamon,183600.00,90000.00,156000.00,126000.00,90000.00,76500.00,1575.00,1872.00,1575.00,18000.00,15600.00,9270.00,234.60,452.39,202.32,629.49,4.78,660.00,6.00,6.50,2.30,2.80,26.00,57.00,320.00,flowering,multipurpose
clove,80000.00,60600.00,70000.00,60600.00,52500.00,52000.00,1224.00,1414.00,1224.00,12240.00,10000.00,10300.00,202.00,612.61,188.50,524.57,3.35,570.00,6.00,6.50,1.90,2.40,26.00,60.00,290.00,vegetative,spices
clove,40400.00,30000.00,36750.00,31500.00,25250.00,25250.00,624.00,714.00,612.00,6180.00,5100.00,5150.00,100.00,534.07,40.06,1154.06,7.41,470.00,6.00,6.50,1.40,1.90,24.00,65.00,240.00,seedling,spices
clove,40800.00,30300.00,36750.00,30000.00,25000.00,25000.00,624.00,700.00,618.00,6240.00,5250.00,5250.00,100.00,706.86,113.10,209.83,4.62,470.00,6.00,6.50,1.40,1.90,24.00,65.00,240.00,harvesting,spices
clove,122400.00,91800.00,109200.00,91800.00,77250.00,75000.00,1854.00,2142.00,1818.00,18900.00,15300.00,15000.00,315.00,298.45,175.93,293.76,4.00,670.00,6.00,6.50,2.40,2.90,28.00,55.00,340.00,flowering,spices
colocasia root,326550.00,155040.00,365620.00,185400.00,90000.00,48000.00,2575.00,3737.00,2600.00,21840.00,11110.00,13000.00,463.50,691.15,113.10,377.69,5.89,1215.00,5.20,6.60,1.90,2.40,30.00,58.00,350.00,vegetative,root_vegetable
colocasia root,104030.00,57200.00,130200.00,65920.00,32000.00,18360.00,824.00,1144.00,714.00,7350.00,4120.00,5050.00,145.60,395.84,149.23,188.85,7.24,605.00,5.30,6.50,1.40,1.90,24.00,59.00,315.00,seedling,root_vegetable
colocasia root,110240.00,58240.00,126000.00,68340.00,35700.00,21000.00,1144.00,1400.00,945.00,10000.00,7350.00,8320.00,185.40,659.73,386.42,646.97,4.85,620.00,5.20,6.60,1.40,1.90,28.00,63.00,340.00,harvesting,root_vegetable
colocasia root,536550.00,244000.00,619140.00,304010.00,160590.00,79000.00,4472.00,6656.00,4326.00,37440.00,19190.00,23100.00,632.40,612.61,63.62,751.89,5.30,1790.00,5.10,6.70,2.40,2.90,33.00,55.00,405.00,flowering,root_vegetable
coral mushrooms,80000.00,62400.00,72100.00,61200.00,51000.00,51500.00,1248.00,1470.00,1260.00,12360.00,10400.00,10500.00,208.00,414.69,199.81,758.88,4.41,570.00,6.00,6.50,1.70,2.20,26.00,60.00,290.00,vegetative,mushrooms
coral mushrooms,42000.00,30900.00,36400.00,31500.00,26250.00,26250.00,606.00,714.00,630.00,6300.00,5250.00,5200.00,105.00,216.77,135.09,1070.13,4.45,470.00,6.00,6.50,1.70,2.20,24.00,65.00,240.00,seedling,mushrooms
coral mushrooms,40000.00,31500.00,36400.00,30000.00,25500.00,25250.00,606.00,728.00,630.00,6240.00,5150.00,5050.00,100.00,829.38,137.44,671.45,4.35,470.00,6.00,6.50,2.20,2.70,24.00,65.00,240.00,harvesting,mushrooms
coral mushrooms,120000.00,93600.00,105000.00,94500.00,75000.00,76500.00,1890.00,2184.00,1854.00,18540.00,15600.00,15300.00,312.00,471.24,90.48,650.47,8.94,670.00,6.00,6.50,2.20,2.70,28.00,55.00,340.00,flowering,mushrooms
coriander (cilantro seeds),83200.00,60600.00,72800.00,62400.00,52500.00,52500.00,1260.00,1470.00,1236.00,12120.00,10300.00,10400.00,206.00,311.02,169.65,377.69,5.73,570.00,6.00,6.50,1.40,1.90,26.00,60.00,290.00,vegetative,spices
coriander (cilantro seeds),41600.00,31500.00,36050.00,31500.00,25500.00,26250.00,630.00,700.00,618.00,6000.00,5250.00,5050.00,104.00,904.78,113.10,262.29,4.22,470.00,6.00,6.50,1.80,2.30,24.00,65.00,240.00,seedling,spices
coriander (cilantro seeds),41600.00,31500.00,35350.00,30900.00,26250.00,26250.00,600.00,700.00,600.00,6120.00,5100.00,5150.00,100.00,637.74,214.41,265.78,3.65,470.00,6.00,6.50,2.30,2.80,24.00,65.00,240.00,harvesting,spices
coriander (cilantro seeds),124800.00,90000.00,107100.00,94500.00,75000.00,76500.00,1800.00,2163.00,1890.00,18540.00,15600.00,15750.00,312.00,923.63,337.72,685.44,4.28,670.00,6.00,6.50,1.40,1.90,28.00,55.00,340.00,flowering,spices
coriander leaf,204000.00,122400.00,220000.00,112200.00,52000.00,25000.00,1530.00,3120.00,1515.00,15750.00,8320.00,8160.00,309.00,1077.57,188.50,314.74,8.03,600.00,6.00,6.50,1.40,1.90,22.00,65.00,350.00,vegetative,herbs
coriander leaf,71400.00,41200.00,80000.00,36750.00,20600.00,10000.00,525.00,800.00,525.00,3090.00,2080.00,2000.00,80.00,1011.59,115.45,954.72,8.46,500.00,6.00,6.50,1.90,2.40,20.00,70.00,300.00,seedling,herbs
coriander leaf,72800.00,40800.00,83200.00,36050.00,20200.00,10200.00,515.00,800.00,520.00,3090.00,2040.00,2080.00,83.20,584.34,108.07,1199.52,8.14,500.00,6.00,6.50,2.40,2.90,20.00,70.00,300.00,harvesting,herbs
coriander leaf,285600.00,166400.00,285600.00,175100.00,72800.00,36750.00,2100.00,4040.00,2000.00,21000.00,10300.00,10000.00,408.00,251.33,166.50,556.05,3.35,750.00,6.00,6.50,1.40,1.90,24.00,60.00,400.00,flowering,herbs
cremini mushrooms (baby portobello),92700.00,72100.00,81600.00,72100.00,61800.00,61200.00,1456.00,1648.00,1442.00,14000.00,12600.00,12240.00,216.30,351.86,113.10,377.69,4.66,580.00,6.00,6.50,1.40,1.90,27.00,59.00,300.00,vegetative,mushrooms
cremini mushrooms (baby portobello),45900.00,35000.00,40800.00,35000.00,31200.00,30300.00,707.00,800.00,735.00,7280.00,6240.00,6180.00,110.00,395.84,366.52,451.13,8.09,480.00,6.00,6.50,1.90,2.40,25.00,64.00,250.00,seedling,mushrooms
cremini mushrooms (baby portobello),45450.00,35000.00,41600.00,35700.00,31200.00,30900.00,707.00,824.00,728.00,7350.00,6180.00,6180.00,113.30,364.42,103.67,489.60,6.86,480.00,6.00,6.50,2.40,2.90,25.00,64.00,250.00,harvesting,mushrooms
cremini mushrooms (baby portobello),135000.00,109200.00,122400.00,110250.00,93600.00,90000.00,2121.00,2424.00,2121.00,21420.00,18000.00,18360.00,322.40,358.14,92.15,451.13,7.55,680.00,6.00,6.50,1.40,1.90,29.00,54.00,350.00,flowering,mushrooms
cucamelon (mouse melon),313040.00,150490.00,357000.00,181280.00,85850.00,45320.00,2080.00,3328.00,2000.00,17340.00,7210.00,9000.00,393.90,832.52,184.73,979.20,3.27,1190.00,5.70,7.10,1.50,2.00,27.00,55.00,330.00,vegetative,fruitables
cucamelon (mouse melon),416000.00,257500.00,468000.00,278100.00,178500.00,93600.00,6000.00,7000.00,6120.00,61200.00,45900.00,47470.00,1133.00,471.24,376.99,881.28,3.67,1290.00,4.40,6.50,1.50,2.00,42.00,80.00,470.00,vegetative,fruitables
cucamelon (mouse melon),92000.00,46460.00,119480.00,58140.00,30450.00,15300.00,618.00,918.00,525.00,5150.00,2100.00,3150.00,126.00,364.42,75.40,699.43,7.50,600.00,5.80,7.00,1.90,2.40,22.00,58.00,300.00,seedling,fruitables
cucamelon (mouse melon),206000.00,132600.00,222200.00,141400.00,72100.00,56100.00,4635.00,5000.00,4680.00,40400.00,36750.00,38480.00,618.00,863.94,424.12,178.35,8.31,730.00,4.70,6.20,1.70,2.20,40.00,100.00,450.00,seedling,fruitables
cucamelon (mouse melon),100800.00,50960.00,122570.00,61610.00,30900.00,16160.00,714.00,1010.00,606.00,5250.00,3030.00,4080.00,136.50,565.49,135.09,660.96,3.53,605.00,5.70,7.10,2.40,2.90,23.00,59.00,310.00,harvesting,fruitables
cucamelon (mouse melon),206000.00,147000.00,224400.00,156000.00,78000.00,63000.00,5200.00,5500.00,5200.00,45900.00,40800.00,42000.00,707.00,417.83,604.76,573.53,8.77,740.00,4.80,6.10,2.20,2.70,41.00,105.00,470.00,harvesting,fruitables
cucamelon (mouse melon),522080.00,244420.00,620060.00,296940.00,153520.00,72720.00,3876.00,5880.00,3600.00,31930.00,14560.00,17000.00,565.60,439.82,144.51,475.61,5.66,1755.00,5.60,7.20,2.00,2.50,29.00,52.00,375.00,flowering,fruitables
cucamelon (mouse melon),595900.00,373700.00,660000.00,405600.00,249600.00,131250.00,8080.00,9090.00,8080.00,81600.00,60600.00,66300.00,1648.00,439.82,109.96,440.64,7.56,1940.00,4.10,6.70,2.50,3.00,46.00,75.00,550.00,flowering,fruitables
cucumis utilissimus,436800.00,272700.00,488800.00,304500.00,191900.00,101000.00,7650.00,8670.00,7650.00,76500.00,61800.00,63240.00,1300.00,942.48,92.99,367.20,3.94,1310.00,4.40,6.10,1.70,2.20,46.00,90.00,510.00,vegetative,curcurbits
cucumis utilissimus,224400.00,154500.00,252000.00,166400.00,80000.00,67600.00,5500.00,6180.00,5775.00,52000.00,45450.00,47000.00,832.00,267.04,178.02,538.56,5.03,750.00,4.90,6.00,1.70,2.20,44.00,110.00,490.00,seedling,curcurbits
cucumis utilissimus,222200.00,161600.00,244800.00,176800.00,86700.00,70700.00,6240.00,6630.00,6060.00,55550.00,51500.00,54080.00,945.00,326.73,125.66,440.64,4.51,760.00,5.00,5.90,2.20,2.70,47.00,115.00,510.00,harvesting,curcurbits
cucumis utilissimus,638600.00,405600.00,717600.00,410000.00,273000.00,136350.00,9595.00,10815.00,9595.00,96900.00,78000.00,84000.00,1900.00,471.24,251.33,839.32,8.54,1960.00,4.10,6.30,2.20,2.70,48.00,85.00,590.00,flowering,curcurbits
curly kale,206000.00,126000.00,226600.00,110000.00,51000.00,25250.00,1530.00,3150.00,1575.00,15450.00,8000.00,8160.00,303.00,1055.58,126.45,601.51,5.24,600.00,6.00,6.50,1.80,2.30,22.00,65.00,350.00,vegetative,leafy_greens
curly kale,70000.00,40000.00,84000.00,35000.00,20200.00,10200.00,520.00,832.00,510.00,3090.00,2060.00,2100.00,80.80,226.19,197.92,377.69,7.26,500.00,6.00,6.50,1.30,1.80,20.00,70.00,300.00,seedling,leafy_greens
