fertilizer_name,type,ph,ec,nitrogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,manganese,molybdenum,nickel,cobalt,sodium,toxicity,temperature,solubility,role,remark
calcium silicate,inorganic,6.5,0,0,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, insoluble," ""Improves soil structure and provides calcium""",Provides calcium and siliconand slow-releaseand good for soil health
iron silicate,inorganic,6.5,0.02,0,0,0,0,0,0,0,0,0,200000,0,0,0,0,0,0, neutral,50, insoluble," ""Supplies iron and improves soil""",Scratch into soil surface and light application
calcium sulfate,inorganic,6.5,0,0,0,0,230000,0,180000,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Supplies calcium and sulfur for growth""",Gypsumand improves soil drainageand can be used as calcium source
molybdenum oxide,inorganic,6.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,660000,0,0,0, neutral,50, low," ""Source of molybdenum for plant growth""",Insoluble in waterand use as soil amendment
zinc oxide,inorganic,6.5,0.03,0,0,0,0,0,0,0,0,0,0,490000,0,0,0,0,0, neutral,50, low," ""Source of zinc for plant growth""",Micronutrientand insoluble in waterand use as soil amendment
gibberellins,growth regulator,6.5,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,25, low," ""Promotes stem elongation and growth""",Plant hormoneand promotes growthand research application rates for specific crops
calcium lactate,inorganic,6.5,0,0,0,0,130000,0,0,0,0,0,0,0,0,0,0,0,0, neutral,40, medium," ""Calcium source that is easily absorbed""",Chelated calciumand lessens soil pH impactand good for foliar application
iron gluconate,inorganic,6.5,0.02,0,0,0,0,0,0,0,0,0,120000,0,0,0,0,0,0, neutral,40, medium," ""Easily absorbed iron for chlorophyll""",Soluble iron sourceand good for correcting deficiencies
manganese gluconate,inorganic,6.5,0,0,0,0,0,0,0,0,0,0,0,0,144000,0,0,0,0, neutral,40, medium," ""Easily absorbed manganese for plants""",Soluble manganese sourceand good for correcting deficiencies
calcium nitrate,inorganic,6.8,0.02,150000,0,0,170000,0,0,0,0,0,0,0,0,0,0,0,0, high,45, highly," ""Fast-acting calcium and nitrogen source""",Water-soluble source of N and Caand follow label rates
iron edta,inorganic,6.8,0.04,0,0,0,0,0,0,0,0,0,130000,0,0,0,0,0,0, low,40, highly," ""Stable iron source for plants""",Chelated ironand improves micronutrient uptakeand follow label rates
bone meal,organic,6.8,0.01,20000,20000,0,240000,0,0,1,0,5,0,60,0,0,0.2,0.1,0, mild,35, low," ""Provides phosphorus and calcium for roots""",Slow-release phosphorus sourceand good for root development
vermicompost tea,organic,6.8,0,500,1500,3000,2500,200,500,0,0,1,100,0,2,0.2,0,0.2,5, neutral,35, highly," ""Nutrient-rich organic fertilizer""",Liquid nutrient supplementand dilute before useand rich in microbes and nutrients
boron nitrate,inorganic,6.8,0.01,0,0,0,0,0,0,0,0,170000,0,0,0,0,0,0,0, neutral,40, highly," ""Source of boron for enzyme function""",Soluble boron sourceand highly solubleand dilute well for foliar application
magnesium acetate,inorganic,6.8,0.03,0,0,0,0,110000,0,0,0,0,0,0,0,0,0,0,0, neutral,40, highly," ""Provides magnesium for chlorophyll production""",Soluble magnesium sourceand use with cautionand can raise soil pH
potassium phosphate,inorganic,6.8,0.02,0,23000,230000,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,45, highly," ""Source of potassium and phosphorus""",Soluble source of K and Pand good for immediate nutrient needs
potassium sulfate,ec regulator,6.8,0.03,0,0,430000,0,0,180000,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides potassium and sulfur""",Sulfate of Potashand soluble source of K and sulfurand follow label rates
aluminum silicate,inorganic,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, insoluble," ""Improves soil structure and water retention""",Scratch into soil surfaceand light application rates
azomite,inorganic,6.8,0,0,0,0,10000,10000,0,1,0,2000,5000,6000,10,20,2,0.1,0, neutral,50, insoluble," ""Supplies trace minerals for soil health""",Volcanic rock dustand slow-release source of minerals
calcium phosphate,inorganic,6.8,0,0,18000,0,290000,0,0,0,0,0,0,0,0,0,0,0,0, neutral,45, low," ""Provides calcium and phosphorus""",Rock phosphateand slow-release phosphorus sourceand may require soil amendments
manganese phosphate,inorganic,6.8,0.01,0,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Provides manganese and phosphorus""",Insoluble in waterand slow-release manganese source
silica gel,inorganic,6.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Improves soil structure and water retention""",Inert desiccantand not recommended for fertilizer use
calcium molybdate,inorganic,6.8,0.05,0,0,0,120000,0,0,0,0,0,0,0,0,52000,0,0,0, neutral,40, medium," ""Supplies calcium and molybdenum""",Micronutrientand dilute well for foliar or soil application
ammonium polyphosphate,inorganic,7,0.07,100000,24000,0,0,0,0,0,0,0,0,0,0,0,0,0,0, high,45, highly," ""Provides sustained phosphorus release""",Slow-release fertilizerand incorporate into soil
bat guano,Organic,7,0,100000,15000,15000,1000,100,10000,3,0,20,200,120,0,0.5,0.3,0.3,0, high,35, medium," ""High nitrogen and phosphorus for growth""",Very high in nutrientsand wear glovesand use well-aged manure
cobalt acetate,inorganic,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0, low,40, highly," ""Source of cobalt for nitrogen fixation""",Micronutrientand research application rates for specific crops
cobalt sulfate,inorganic,7,0.03,0,0,0,0,0,180000,0,0,0,0,0,0,0,0,210,0, low,50, highly," ""Provides cobalt for nitrogen metabolism""",Micronutrientand solubleand follow label rates to avoid toxicity
copper chloride,inorganic,7,0.01,0,0,0,0,0,0,370000,372000,0,0,0,0,0,0,0,0, low,50, highly," ""Supplies copper for plant health""",Soluble copper sourceand can be corrosiveand handle with care
copper edta,inorganic,7,0.02,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0, low,40, highly," ""Stable copper source for plants""",Chelated copperand improves micronutrient uptakeand follow label rates
iron chelate,inorganic,7,0.03,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,0, low,40, highly," ""Easily absorbed iron source""",Soluble iron sourceand lessens soil bindingand good for correcting deficiencies
iron sulfate,inorganic,7,0.03,0,0,0,0,0,200000,0,0,0,200000,0,0,0,0,0,0, low,50, highly," ""Provides iron for chlorophyll production""",Iron sulfateand most common iron fertilizerand follow label rates
cobalt carbonate,inorganic,7,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0, low,50, low," ""Provides cobalt for enzyme processes""",Micronutrientand insoluble in waterand use as soil amendment
bat guano tea,Organic,7,0,1000,7500,7500,250,20,5000,1.5,0,2,100,80,0,0.1,0.03,0.1,0, mild,35, highly," ""Quick-release nutrients from bat guano""",Steep 1 cup/gallon for a dayand dilute before use
calcium hypochlorite,inorganic,7,0.03,0,0,0,170000,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides calcium and controls soil pathogens""",Swimming pool chlorineand not recommended for fertilizer use
cobalt chelate,inorganic,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0, neutral,40, highly," ""Easily absorbed cobalt source""",Soluble or chelated form and follow label rates for foliar or soil application
magnesium chloride,inorganic,7,0.03,0,0,0,0,120000,0,0,740000,0,0,0,0,0,0,0,0, neutral,50, highly," ""Provides magnesium and improves soil structure""",Soluble magnesium sourceand can be corrosiveand handle with care
potassium acetate,inorganic,7,0.02,0,0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,45, highly," ""Provides potassium for plant health""",Soluble potassium sourceand use with cautionand can raise soil pH
potassium bicarbonate,inorganic,7,0.02,0,0,498000,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Supplies potassium and raises soil pH""",Soluble potassium sourceand fungicideand follow label rates
potassium chloride,inorganic,7,0.02,0,0,524000,0,0,0,0,476000,0,0,0,0,0,0,0,0, neutral,50, highly," ""Source of potassium for plant growth""",Muriate of Potashand most common potassium fertilizerand follow label rates
coconut coir,organic,7,0.02,0,0,0,100,100,0,0,0,0,10,20,0,0,0,0,0, neutral,35, insoluble," ""Improves soil structure and water retention""",Soil amendmentand improves drainage and aeration
azadirachtin,Organic,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,30, low," ""Natural insecticide for pest control""",Neem oil extractand organic insecticideand follow label instructions
magnesium carbonate,inorganic,7,0.03,0,0,0,0,288000,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Supplies magnesium and raises soil pH""",Dolomiteand source of magnesium and calciumand follow soil test
salicylic acid,inorganic,7,0.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0, neutral,30, low," ""Enhances plant defense mechanisms""",Plant signaling compoundand research application rates for specific effects
copper gluconate,inorganic,7,0.03,0,0,0,0,0,0,110000,0,0,0,0,0,0,0,0,0, neutral,40, medium," ""Easily absorbed copper for plants""",Soluble copper sourceand good for correcting deficiencies
ammonium tetraborate,inorganic,7.2,0.07,130000,0,0,0,0,0,0,0,110000,0,0,0,0,0,0,0, neutral,40, highly," ""Source of boron for cell wall strength""",Boron sourceand highly solubleand dilute well for foliar application
ammonium thiosulfate,inorganic,7.5,0.07,210000,0,0,0,0,260000,0,0,0,0,0,0,0,0,0,0, high,45, highly," ""Supplies sulfur and improves soil pH""",Sulfur sourceand solubleand use for sulfur-deficient crops
calcium ammonium nitrate,inorganic,7.5,0.07,270000,0,0,200000,0,0,0,0,0,0,0,0,0,0,0,0, high,45, highly," ""Balanced calcium and nitrogen source""",Water-soluble source of N and Caand follow label rates
nickel edta,inorganic,7.5,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0, low,40, highly," ""Stable nickel source for plants""",Chelated nickeland improves micronutrient uptakeand follow label rates
neem cake,organic,7.5,0.02,30000,2000,17000,2000,100,5000,1,0,10,10,0,2,0.3,0,0.1,10, low,35, low," ""Adds organic matter and repels pests""",Repels insectsand suppresses soilborne diseases
potassium molybdate,inorganic,7.5,0.02,0,0,46000,0,0,0,0,0,0,0,0,0,460000,0,0,0, neutral,45, highly," ""Source of potassium and molybdenum""",Micronutrientand solubleand follow label rates to avoid toxicity
sodium molybdate,inorganic,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,0,0,391000, neutral,45, highly," ""Source of sodium and molybdenum""",Micronutrientand solubleand follow label rates to avoid toxicity
ethylene,growth regulator,7.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,30, highly," ""Regulates fruit ripening and growth""",Gaseous plant hormoneand research application rates for specific ripening effects
perlite,mixed,7.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, insoluble," ""Improves soil aeration and drainage""",Inert volcanic rockand improves drainage and aeration
copper oxide,inorganic,7.5,0.04,0,0,0,0,0,0,750000,0,0,0,0,0,0,0,0,0, neutral,50, insoluble," ""Supplies copper for growth processes""",Insoluble in waterand use as soil amendment
diatomaceous earth,inorganic,7.5,0.01,0,0,0,0,0,0,0,0,200,50,0,0,0,0,0,0, neutral,50, insoluble," ""Improves soil aeration and water retention""",Not a fertilizerand controls insects physicallyand avoid inhalation
calcium carbonate,ph ec regulator,7.5,0,0,0,0,400000,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Raises soil pH and provides calcium""",Liming materialand raises soil pHand apply according to soil test
magnesium oxide,inorganic,7.5,0,0,0,0,0,600000,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Source of magnesium for plant growth""",Magnesiaand slow-release magnesium sourceand may require soil amendments
dolomite lime,ec regulator,7.5,0,0,0,0,200000,120000,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Raises soil pH and supplies magnesium""",Liming materialand raises soil magnesium and calcium levelsand follow soil test
magnesium citrate,inorganic,7.5,0.03,0,0,0,0,110000,0,0,0,0,0,0,0,0,0,0,0, neutral,40, medium," ""Easily absorbed magnesium source""",Chelated magnesiumand lessens soil pH impactand good for foliar application
ammonium bicarbonate,inorganic,7.8,0.03,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, high,40, highly," ""Provides nitrogen for plant growth""",Solubleand use in light watering for acid-loving plants
cobalt nitrate,inorganic,8,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,0, low,40, highly," ""Source of cobalt for enzyme function""",Micronutrientand solubleand follow label rates to avoid toxicity
zinc chloride,inorganic,8,0,0,0,0,0,0,0,0,475000,0,0,480000,0,0,0,0,0, low,50, highly," ""Supplies zinc for enzyme activity""",Micronutrientand solubleand follow label rates to avoid toxicity
potassium hydroxide,ph ec regulator,8,0.01,0,0,697000,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Raises soil pH and supplies potassium""",Lyeand strong baseand not recommended for fertilizer use
cobalt oxide,inorganic,8,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0, neutral,50, insoluble," ""Supplies cobalt for plant processes""",Insoluble in waterand use as soil amendment
elemental sulfur,inorganic,8,0.03,0,0,0,0,0,1000000,0,0,0,0,0,0,0,0,0,0, neutral,45, insoluble," ""Lowers soil pH and supplies sulfur""",Slow-release sulfur sourceand apply according to soil test
cobalt hydroxide,inorganic,8,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0, neutral,50, low," ""Provides cobalt for growth processes""",Insoluble in waterand use as soil amendment
rock phosphate,inorganic,8,0.03,0,13000,0,0,0,0,1,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Slow-release phosphorus source""",Insoluble phosphorus sourceand requires grinding or composting for better availability
cobalt gluconate,inorganic,8,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0, neutral,40, medium," ""Easily absorbed cobalt for plants""",Micronutrientand solubleand follow label rates to avoid toxicity
worm castings,organic,8.5,0.03,10000,2000,2000,5000,100,0,0,0,1,100,0,2,0.2,0,0.4,0, mild,35, low," ""Improves soil structure and fertility""",Castings of earthwormsand organic fertilizer rich in nutrients and microbes
seaweed extract tea,organic,8.5,0.03,100,1000,75000,1000,0,0,2,0,2,25,0,1,0.05,0,0.1,0, neutral,35, highly," ""Quick nutrient boost from seaweed""",Made from seaweed extractand dilute before useand beneficial for soil microbes
potassium silicate,inorganic,8.5,0.02,0,0,120000,0,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, highly," ""Supplies potassium and improves soil structure""",Soluble silicate sourceand may strengthen plant cell wallsand research application rates
calcium hydroxide,inorganic,9,0.03,0,0,0,540000,0,0,0,0,0,0,0,0,0,0,0,0, neutral,50, low," ""Raises soil pH and supplies calcium""",Slaked limeand raises soil pHand apply according to soil test
calcium gluconate,inorganic,12.4,0,0,0,0,93000,0,0,0,0,0,0,0,0,0,0,0,0, neutral,40, medium," ""Easily absorbed calcium source""",Soluble calcium sourceand good for correcting deficiencies
