name,nirtogen,phosphorus,potassium,calcium,magnesium,sulfur,copper,chlorine,boron,iron,zinc,maganese,molybdenum ,oxygen,carbondioxide,ph_min,ph_max,EC_min,EC_max,temp,humidity,light,growth_stage,type
catnip,220.00,130.00,240.00,130.00,60.00,30.00,1.80,3.50,1.80,17.00,9.00,9.00,0.40,6.00,640.00,6.00,6.50,2.1,2.6,22.00,65.00,390.00,vegetative,herbs
catnip,320.00,180.00,320.00,190.00,80.00,45.00,2.50,5.00,2.50,22.00,12.00,12.00,0.50,6.00,820.00,6.00,6.50,2.6,3.1,24.00,60.00,440.00,flowering,herbs
cauliflower,86.00,43.00,110.00,54.00,27.00,13.00,0.40,0.70,0.40,4.00,2.00,3.00,0.09,6.00,585.00,5.30,6.50,1.4,1.9,19.00,55.00,290.00,seedling,cruciferous_vegetables
cauliflower,92.00,47.00,114.00,58.00,28.00,14.00,0.50,0.80,0.50,5.00,3.00,4.00,0.11,6.00,595.00,5.20,6.60,1.4,1.9,21.00,56.00,300.00,harvesting,cruciferous_vegetables
cauliflower,296.00,143.00,348.00,170.00,81.00,41.00,1.80,2.90,1.80,14.00,6.00,8.00,0.37,5.00,1175.00,5.20,6.60,1.9,2.4,24.00,52.00,320.00,vegetative,cruciferous_vegetables
cauliflower,496.00,233.00,593.00,290.00,148.00,69.00,3.60,5.40,3.40,29.00,13.00,16.00,0.54,6.00,1740.00,5.10,6.70,2.4,2.9,27.00,49.00,365.00,flowering,cruciferous_vegetables
cayenne,100.00,50.00,120.00,60.00,30.00,15.00,0.80,1.20,0.80,6.00,3.00,3.00,0.15,6.00,600.00,5.80,6.50,1.7,2.2,25.00,65.00,300.00,seedling,fruitables
cayenne,100.00,50.00,120.00,60.00,30.00,15.00,0.80,1.20,0.80,6.00,3.00,3.00,0.15,6.00,600.00,5.80,6.50,2.2,2.7,25.00,65.00,300.00,harvesting,fruitables
cayenne,300.00,150.00,360.00,180.00,90.00,45.00,2.40,3.60,2.40,18.00,9.00,9.00,0.45,6.00,1200.00,5.80,6.50,1.7,2.2,28.00,60.00,350.00,vegetative,fruitables
cayenne,500.00,250.00,600.00,300.00,150.00,75.00,4.00,6.00,4.00,30.00,15.00,15.00,0.60,6.00,1800.00,5.80,6.50,2.2,2.7,30.00,55.00,400.00,flowering,fruitables
celery,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.4,1.9,20.00,70.00,340.00,seedling,leafy_greens
celery,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.4,1.9,20.00,70.00,340.00,harvesting,leafy_greens
celery,220.00,130.00,240.00,130.00,60.00,30.00,1.80,3.50,1.80,17.00,9.00,9.00,0.40,6.00,640.00,6.00,6.50,1.9,2.4,22.00,65.00,390.00,vegetative,leafy_greens
celery,320.00,180.00,320.00,190.00,80.00,45.00,2.50,5.00,2.50,22.00,12.00,12.00,0.50,6.00,820.00,6.00,6.50,2.4,2.9,24.00,60.00,440.00,flowering,leafy_greens
chamomile,70.00,35.00,60.00,50.00,40.00,25.00,0.50,0.60,0.50,7.00,5.00,3.00,0.09,5.00,460.00,6.00,6.50,1.3,1.8,23.00,66.00,230.00,seedling,multipurpose
chamomile,70.00,35.00,60.00,50.00,40.00,25.00,0.50,0.60,0.50,7.00,5.00,3.00,0.09,5.00,460.00,6.00,6.50,1.3,1.8,23.00,66.00,230.00,harvesting,multipurpose
chamomile,140.00,70.00,120.00,100.00,80.00,50.00,1.00,1.20,1.00,14.00,10.00,6.00,0.18,6.00,560.00,6.00,6.50,1.8,2.3,25.00,61.00,280.00,vegetative,multipurpose
chamomile,210.00,105.00,180.00,150.00,120.00,75.00,1.50,1.80,1.50,21.00,15.00,9.00,0.27,7.00,660.00,6.00,6.50,2.3,2.8,27.00,56.00,330.00,flowering,multipurpose
chestnut mushrooms,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.7,2.2,24.00,65.00,240.00,seedling,mushrooms
chestnut mushrooms,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,2.2,2.7,24.00,65.00,240.00,harvesting,mushrooms
chestnut mushrooms,80.00,60.00,70.00,60.00,50.00,50.00,1.20,1.40,1.20,12.00,10.00,10.00,0.20,6.00,570.00,6.00,6.50,1.1,1.6,26.00,60.00,290.00,vegetative,mushrooms
chestnut mushrooms,120.00,90.00,105.00,90.00,75.00,75.00,1.80,2.10,1.80,18.00,15.00,15.00,0.30,7.00,670.00,6.00,6.50,1.1,1.6,28.00,55.00,340.00,flowering,mushrooms
chinese broccoli (gai lan),86.00,43.00,110.00,54.00,27.00,13.00,0.40,0.70,0.40,4.00,2.00,3.00,0.09,6.00,585.00,5.30,6.50,1.6,2.1,19.00,55.00,290.00,seedling,cruciferous_vegetables
chinese broccoli (gai lan),92.00,47.00,114.00,58.00,28.00,14.00,0.50,0.80,0.50,5.00,3.00,4.00,0.11,6.00,595.00,5.20,6.60,2.1,2.6,21.00,56.00,300.00,harvesting,cruciferous_vegetables
chinese broccoli (gai lan),296.00,143.00,348.00,170.00,81.00,41.00,1.80,2.90,1.80,14.00,6.00,8.00,0.37,5.00,1175.00,5.20,6.60,1.4,1.9,24.00,52.00,320.00,vegetative,cruciferous_vegetables
chinese broccoli (gai lan),496.00,233.00,593.00,290.00,148.00,69.00,3.60,5.40,3.40,29.00,13.00,16.00,0.54,6.00,1740.00,5.10,6.70,1.4,1.9,27.00,49.00,365.00,flowering,cruciferous_vegetables
chioggia beets,87.00,44.00,111.00,54.00,27.00,13.00,0.40,0.70,0.40,4.00,2.00,3.00,0.09,6.00,585.00,5.30,6.50,1.9,2.4,19.00,55.00,290.00,seedling,root_vegetable
chioggia beets,93.00,47.00,115.00,59.00,28.00,14.00,0.50,0.80,0.50,5.00,3.00,4.00,0.11,6.00,595.00,5.20,6.60,2.4,2.9,21.00,56.00,300.00,harvesting,root_vegetable
chioggia beets,297.00,144.00,349.00,171.00,82.00,41.00,1.80,2.90,1.80,14.00,6.00,8.00,0.37,5.00,1175.00,5.20,6.60,1.1,1.6,24.00,52.00,320.00,vegetative,root_vegetable
chioggia beets,497.00,234.00,594.00,291.00,149.00,70.00,3.60,5.40,3.40,29.00,13.00,16.00,0.54,6.00,1740.00,5.10,6.70,1.1,1.6,27.00,49.00,365.00,flowering,root_vegetable
chives,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,1.6,2.1,20.00,70.00,340.00,seedling,herbs
chives,80.00,45.00,90.00,40.00,25.00,15.00,0.60,1.00,0.60,4.00,2.50,2.50,0.12,6.00,540.00,6.00,6.50,2.1,2.6,20.00,70.00,340.00,harvesting,herbs
chives,220.00,130.00,240.00,130.00,60.00,30.00,1.80,3.50,1.80,17.00,9.00,9.00,0.40,6.00,640.00,6.00,6.50,1.7,2.2,22.00,65.00,390.00,vegetative,herbs
chives,320.00,180.00,320.00,190.00,80.00,45.00,2.50,5.00,2.50,22.00,12.00,12.00,0.50,6.00,820.00,6.00,6.50,2.2,2.7,24.00,60.00,440.00,flowering,herbs
chocolate mint,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.4,1.9,20.00,70.00,300.00,seedling,herbs
chocolate mint,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.4,1.9,20.00,70.00,300.00,harvesting,herbs
chocolate mint,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.9,2.4,22.00,65.00,350.00,vegetative,herbs
chocolate mint,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,2.4,2.9,24.00,60.00,400.00,flowering,herbs
cilantro,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.4,1.9,20.00,70.00,300.00,seedling,herbs
cilantro,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.4,1.9,20.00,70.00,300.00,harvesting,herbs
cilantro,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.9,2.4,22.00,65.00,350.00,vegetative,herbs
cilantro,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,2.4,2.9,24.00,60.00,400.00,flowering,herbs
cinnamon,60.00,30.00,50.00,40.00,30.00,25.00,0.50,0.60,0.50,6.00,5.00,3.00,0.08,5.00,460.00,6.00,6.50,1.3,1.8,22.00,67.00,220.00,seedling,multipurpose
cinnamon,60.00,30.00,50.00,40.00,30.00,25.00,0.50,0.60,0.50,6.00,5.00,3.00,0.08,5.00,460.00,6.00,6.50,1.3,1.8,22.00,67.00,220.00,harvesting,multipurpose
cinnamon,120.00,60.00,100.00,80.00,60.00,50.00,1.00,1.20,1.00,12.00,10.00,6.00,0.15,6.00,560.00,6.00,6.50,1.8,2.3,24.00,62.00,270.00,vegetative,multipurpose
cinnamon,180.00,90.00,150.00,120.00,90.00,75.00,1.50,1.80,1.50,18.00,15.00,9.00,0.23,7.00,660.00,6.00,6.50,2.3,2.8,26.00,57.00,320.00,flowering,multipurpose
clove,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.4,1.9,24.00,65.00,240.00,seedling,spices
clove,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.4,1.9,24.00,65.00,240.00,harvesting,spices
clove,80.00,60.00,70.00,60.00,50.00,50.00,1.20,1.40,1.20,12.00,10.00,10.00,0.20,6.00,570.00,6.00,6.50,1.9,2.4,26.00,60.00,290.00,vegetative,spices
clove,120.00,90.00,105.00,90.00,75.00,75.00,1.80,2.10,1.80,18.00,15.00,15.00,0.30,7.00,670.00,6.00,6.50,2.4,2.9,28.00,55.00,340.00,flowering,spices
colocasia root,101.00,55.00,124.00,64.00,32.00,18.00,0.80,1.10,0.70,7.00,4.00,5.00,0.14,6.00,605.00,5.30,6.50,1.4,1.9,24.00,59.00,315.00,seedling,root_vegetable
colocasia root,106.00,56.00,126.00,67.00,34.00,20.00,1.10,1.40,0.90,10.00,7.00,8.00,0.18,6.00,620.00,5.20,6.60,1.4,1.9,28.00,63.00,340.00,harvesting,root_vegetable
colocasia root,311.00,152.00,362.00,180.00,90.00,48.00,2.50,3.70,2.50,21.00,11.00,13.00,0.45,5.00,1215.00,5.20,6.60,1.9,2.4,30.00,58.00,350.00,vegetative,root_vegetable
colocasia root,511.00,244.00,607.00,301.00,159.00,79.00,4.30,6.40,4.20,36.00,19.00,22.00,0.62,6.00,1790.00,5.10,6.70,2.4,2.9,33.00,55.00,405.00,flowering,root_vegetable
coral mushrooms,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.7,2.2,24.00,65.00,240.00,seedling,mushrooms
coral mushrooms,40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,2.2,2.7,24.00,65.00,240.00,harvesting,mushrooms
coral mushrooms,80.00,60.00,70.00,60.00,50.00,50.00,1.20,1.40,1.20,12.00,10.00,10.00,0.20,6.00,570.00,6.00,6.50,1.7,2.2,26.00,60.00,290.00,vegetative,mushrooms
coral mushrooms,120.00,90.00,105.00,90.00,75.00,75.00,1.80,2.10,1.80,18.00,15.00,15.00,0.30,7.00,670.00,6.00,6.50,2.2,2.7,28.00,55.00,340.00,flowering,mushrooms
coriander (cilantro seeds),40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,1.8,2.3,24.00,65.00,240.00,seedling,spices
coriander (cilantro seeds),40.00,30.00,35.00,30.00,25.00,25.00,0.60,0.70,0.60,6.00,5.00,5.00,0.10,5.00,470.00,6.00,6.50,2.3,2.8,24.00,65.00,240.00,harvesting,spices
coriander (cilantro seeds),80.00,60.00,70.00,60.00,50.00,50.00,1.20,1.40,1.20,12.00,10.00,10.00,0.20,6.00,570.00,6.00,6.50,1.4,1.9,26.00,60.00,290.00,vegetative,spices
coriander (cilantro seeds),120.00,90.00,105.00,90.00,75.00,75.00,1.80,2.10,1.80,18.00,15.00,15.00,0.30,7.00,670.00,6.00,6.50,1.4,1.9,28.00,55.00,340.00,flowering,spices
coriander leaf,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.9,2.4,20.00,70.00,300.00,seedling,herbs
coriander leaf,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,2.4,2.9,20.00,70.00,300.00,harvesting,herbs
coriander leaf,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.4,1.9,22.00,65.00,350.00,vegetative,herbs
coriander leaf,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,1.4,1.9,24.00,60.00,400.00,flowering,herbs
cremini mushrooms (baby portobello),45.00,35.00,40.00,35.00,30.00,30.00,0.70,0.80,0.70,7.00,6.00,6.00,0.11,5.00,480.00,6.00,6.50,1.9,2.4,25.00,64.00,250.00,seedling,mushrooms
cremini mushrooms (baby portobello),45.00,35.00,40.00,35.00,30.00,30.00,0.70,0.80,0.70,7.00,6.00,6.00,0.11,5.00,480.00,6.00,6.50,2.4,2.9,25.00,64.00,250.00,harvesting,mushrooms
cremini mushrooms (baby portobello),90.00,70.00,80.00,70.00,60.00,60.00,1.40,1.60,1.40,14.00,12.00,12.00,0.21,6.00,580.00,6.00,6.50,1.4,1.9,27.00,59.00,300.00,vegetative,mushrooms
cremini mushrooms (baby portobello),135.00,105.00,120.00,105.00,90.00,90.00,2.10,2.40,2.10,21.00,18.00,18.00,0.31,7.00,680.00,6.00,6.50,1.4,1.9,29.00,54.00,350.00,flowering,mushrooms
cucamelon (mouse melon),92.00,46.00,116.00,57.00,29.00,15.00,0.60,0.90,0.50,5.00,2.00,3.00,0.12,6.00,600.00,5.80,7.00,1.9,2.4,22.00,58.00,300.00,seedling,fruitables
cucamelon (mouse melon),96.00,49.00,119.00,61.00,30.00,16.00,0.70,1.00,0.60,5.00,3.00,4.00,0.13,6.00,605.00,5.70,7.10,2.4,2.9,23.00,59.00,310.00,harvesting,fruitables
cucamelon (mouse melon),200.00,130.00,220.00,140.00,70.00,55.00,4.50,5.00,4.50,40.00,35.00,37.00,0.60,7.00,730.00,4.70,6.20,1.7,2.2,40.00,100.00,450.00,seedling,fruitables
cucamelon (mouse melon),200.00,140.00,220.00,150.00,75.00,60.00,5.00,5.50,5.00,45.00,40.00,42.00,0.70,7.00,740.00,4.80,6.10,2.2,2.7,41.00,105.00,470.00,harvesting,fruitables
cucamelon (mouse melon),301.00,149.00,357.00,176.00,85.00,44.00,2.00,3.20,2.00,17.00,7.00,9.00,0.39,5.00,1190.00,5.70,7.10,1.5,2,27.00,55.00,330.00,vegetative,fruitables
cucamelon (mouse melon),400.00,250.00,450.00,270.00,170.00,90.00,6.00,7.00,6.00,60.00,45.00,47.00,1.10,7.00,1290.00,4.40,6.50,1.5,2,42.00,80.00,470.00,vegetative,fruitables
cucamelon (mouse melon),502.00,242.00,602.00,294.00,152.00,72.00,3.80,5.60,3.60,31.00,14.00,17.00,0.56,6.00,1755.00,5.60,7.20,2,2.5,29.00,52.00,375.00,flowering,fruitables
cucamelon (mouse melon),590.00,370.00,660.00,390.00,240.00,125.00,8.00,9.00,8.00,80.00,60.00,65.00,1.60,7.00,1940.00,4.10,6.70,2.5,3,46.00,75.00,550.00,flowering,fruitables
cucumis utilissimus,220.00,150.00,240.00,160.00,80.00,65.00,5.50,6.00,5.50,50.00,45.00,47.00,0.80,7.00,750.00,4.90,6.00,1.7,2.2,44.00,110.00,490.00,seedling,curcurbits
cucumis utilissimus,220.00,160.00,240.00,170.00,85.00,70.00,6.00,6.50,6.00,55.00,50.00,52.00,0.90,7.00,760.00,5.00,5.90,2.2,2.7,47.00,115.00,510.00,harvesting,curcurbits
cucumis utilissimus,420.00,270.00,470.00,290.00,190.00,100.00,7.50,8.50,7.50,75.00,60.00,62.00,1.30,7.00,1310.00,4.40,6.10,1.7,2.2,46.00,90.00,510.00,vegetative,curcurbits
cucumis utilissimus,620.00,390.00,690.00,410.00,260.00,135.00,9.50,10.50,9.50,95.00,75.00,80.00,1.90,7.00,1960.00,4.10,6.30,2.2,2.7,48.00,85.00,590.00,flowering,curcurbits
curly kale,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.3,1.8,20.00,70.00,300.00,seedling,leafy_greens
curly kale,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.3,1.8,20.00,70.00,300.00,harvesting,leafy_greens
curly kale,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.8,2.3,22.00,65.00,350.00,vegetative,leafy_greens
curly kale,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,2.3,2.8,24.00,60.00,400.00,flowering,leafy_greens
curly parsley,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.7,2.2,20.00,70.00,300.00,seedling,herbs
curly parsley,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,2.2,2.7,20.00,70.00,300.00,harvesting,herbs
curly parsley,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.7,2.2,22.00,65.00,350.00,vegetative,herbs
curly parsley,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,2.2,2.7,24.00,60.00,400.00,flowering,herbs
daikon radishes,96.00,52.00,120.00,62.00,31.00,17.00,0.80,1.10,0.70,7.00,4.00,5.00,0.14,6.00,605.00,5.30,6.50,1.25,1.75,24.00,59.00,315.00,seedling,root_vegetable
daikon radishes,102.00,53.00,123.00,65.00,33.00,19.00,1.00,1.30,0.80,9.00,6.00,7.00,0.17,6.00,615.00,5.20,6.60,1.25,1.75,27.00,62.00,335.00,harvesting,root_vegetable
daikon radishes,306.00,150.00,358.00,178.00,89.00,47.00,2.40,3.50,2.40,20.00,10.00,12.00,0.44,5.00,1210.00,5.20,6.60,1.75,2.25,29.00,57.00,345.00,vegetative,root_vegetable
daikon radishes,506.00,242.00,603.00,299.00,157.00,77.00,4.20,6.20,4.10,35.00,18.00,21.00,0.61,6.00,1780.00,5.10,6.70,2.25,2.75,32.00,54.00,400.00,flowering,root_vegetable
daylilies,35.00,25.00,30.00,25.00,20.00,20.00,0.50,0.60,0.50,5.00,4.00,4.00,0.09,5.00,460.00,6.00,6.50,1.7,2.2,23.00,66.00,230.00,seedling,edible_flowers
daylilies,35.00,25.00,30.00,25.00,20.00,20.00,0.50,0.60,0.50,5.00,4.00,4.00,0.09,5.00,460.00,6.00,6.50,2.2,2.7,23.00,66.00,230.00,harvesting,edible_flowers
daylilies,70.00,50.00,60.00,50.00,40.00,40.00,1.00,1.20,1.00,10.00,8.00,8.00,0.15,6.00,560.00,6.00,6.50,1.7,2.2,25.00,61.00,280.00,vegetative,edible_flowers
daylilies,105.00,75.00,90.00,75.00,60.00,60.00,1.50,1.80,1.50,15.00,12.00,12.00,0.25,7.00,660.00,6.00,6.50,2.2,2.7,27.00,56.00,330.00,flowering,edible_flowers
dianthus (pinks),30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.7,2.2,22.00,67.00,220.00,seedling,edible_flowers
dianthus (pinks),30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,2.2,2.7,22.00,67.00,220.00,harvesting,edible_flowers
dianthus (pinks),60.00,40.00,50.00,40.00,30.00,30.00,0.70,0.80,0.70,6.00,4.00,4.00,0.13,6.00,540.00,6.00,6.50,1.7,2.2,24.00,62.00,270.00,vegetative,edible_flowers
dianthus (pinks),90.00,60.00,75.00,60.00,45.00,45.00,1.00,1.20,1.00,9.00,6.00,6.00,0.20,7.00,640.00,6.00,6.50,2.2,2.7,26.00,57.00,320.00,flowering,edible_flowers
dill,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.3,1.8,20.00,70.00,300.00,seedling,herbs
dill,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.3,1.8,20.00,70.00,300.00,harvesting,herbs
dill,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.8,2.3,22.00,65.00,350.00,vegetative,herbs
dill,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,2.3,2.8,24.00,60.00,400.00,flowering,herbs
echinacea,55.00,28.00,45.00,38.00,32.00,22.00,0.45,0.55,0.45,5.50,4.50,3.50,0.08,5.50,455.00,6.00,6.50,1.6,2.1,21.50,66.50,212.50,seedling,multipurpose
echinacea,55.00,28.00,45.00,38.00,32.00,22.00,0.45,0.55,0.45,5.50,4.50,3.50,0.08,5.50,455.00,6.00,6.50,2.1,2.6,21.50,66.50,212.50,harvesting,multipurpose
echinacea,110.00,55.00,90.00,75.00,64.00,44.00,0.90,1.10,0.90,11.00,9.00,7.00,0.15,6.00,555.00,6.00,6.50,1.1,1.6,23.00,61.00,262.50,vegetative,multipurpose
echinacea,165.00,82.50,135.00,112.50,96.00,66.00,1.35,1.65,1.35,16.50,13.50,10.50,0.22,6.50,655.00,6.00,6.50,1.1,1.6,24.50,56.50,312.50,flowering,multipurpose
endive,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.6,2.1,20.00,70.00,300.00,seedling,leafy_greens
endive,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,2.1,2.6,20.00,70.00,300.00,harvesting,leafy_greens
endive,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.4,1.9,22.00,65.00,350.00,vegetative,leafy_greens
endive,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,1.4,1.9,24.00,60.00,400.00,flowering,leafy_greens
english seedless cucumber,120.00,60.00,140.00,70.00,35.00,20.00,1.00,1.50,1.00,8.00,5.00,6.00,0.20,7.00,630.00,5.50,6.00,1.9,2.4,25.00,65.00,320.00,seedling,curcurbits
english seedless cucumber,130.00,70.00,150.00,80.00,40.00,25.00,1.50,2.00,1.50,12.00,7.00,8.00,0.25,7.00,670.00,5.30,6.20,2.4,2.9,28.00,70.00,350.00,harvesting,curcurbits
english seedless cucumber,330.00,180.00,380.00,210.00,110.00,60.00,3.00,4.00,3.00,30.00,20.00,22.00,0.60,7.00,1220.00,5.00,6.50,1.7,2.2,32.00,60.00,380.00,vegetative,curcurbits
english seedless cucumber,520.00,300.00,580.00,320.00,170.00,90.00,5.00,6.00,5.00,50.00,30.00,35.00,1.00,7.00,1870.00,4.50,6.80,2.2,2.7,35.00,55.00,450.00,flowering,curcurbits
enoki mushrooms (enokitake),30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.4,1.9,22.00,67.00,220.00,seedling,mushrooms
enoki mushrooms (enokitake),30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.4,1.9,22.00,67.00,220.00,harvesting,mushrooms
enoki mushrooms (enokitake),60.00,40.00,50.00,40.00,30.00,30.00,0.70,0.80,0.70,6.00,4.00,4.00,0.13,6.00,540.00,6.00,6.50,1.9,2.4,24.00,62.00,270.00,vegetative,mushrooms
enoki mushrooms (enokitake),90.00,60.00,75.00,60.00,45.00,45.00,1.00,1.20,1.00,9.00,6.00,6.00,0.20,7.00,640.00,6.00,6.50,2.4,2.9,26.00,57.00,320.00,flowering,mushrooms
fennel,30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,1.8,2.3,22.00,67.00,220.00,seedling,spices
fennel,30.00,20.00,25.00,20.00,15.00,15.00,0.40,0.50,0.40,4.00,3.00,3.00,0.08,5.00,440.00,6.00,6.50,2.3,2.8,22.00,67.00,220.00,harvesting,spices
fennel,60.00,40.00,50.00,40.00,30.00,30.00,0.70,0.80,0.70,6.00,4.00,4.00,0.13,6.00,540.00,6.00,6.50,1.4,1.9,24.00,62.00,270.00,vegetative,spices
fennel,90.00,60.00,75.00,60.00,45.00,45.00,1.00,1.20,1.00,9.00,6.00,6.00,0.20,7.00,640.00,6.00,6.50,1.4,1.9,26.00,57.00,320.00,flowering,spices
fenugreek,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,1.9,2.4,20.00,70.00,300.00,seedling,herbs
fenugreek,70.00,40.00,80.00,35.00,20.00,10.00,0.50,0.80,0.50,3.00,2.00,2.00,0.08,6.00,500.00,6.00,6.50,2.4,2.9,20.00,70.00,300.00,harvesting,herbs
fenugreek,200.00,120.00,220.00,110.00,50.00,25.00,1.50,3.00,1.50,15.00,8.00,8.00,0.30,6.00,600.00,6.00,6.50,1.3,1.8,22.00,65.00,350.00,vegetative,herbs
fenugreek,280.00,160.00,280.00,170.00,70.00,35.00,2.00,4.00,2.00,20.00,10.00,10.00,0.40,6.00,750.00,6.00,6.50,1.3,1.8,24.00,60.00,400.00,flowering,herbs
fenugreek,35.00,25.00,30.00,25.00,20.00,20.00,0.50,0.60,0.50,5.00,4.00,4.00,0.09,5.00,460.00,6.00,6.50,1.8,2.3,23.00,66.00,230.00,seedling,spices
